,subID,score,source,target
0,1001,0.6097219128839159,No_Ref,No_Ref
1,1002,0.5726061534911727,No_Ref,No_Ref
2,1003,0.5881768163339937,No_Ref,No_Ref
3,1004,0.5757618211603986,No_Ref,No_Ref
4,1005,0.5593404387522034,No_Ref,No_Ref
5,1006,0.5849553502668191,No_Ref,No_Ref
6,1007,0.5743499663333101,No_Ref,No_Ref
7,1008,0.5676348352719862,No_Ref,No_Ref
8,1009,0.5626649085117267,No_Ref,No_Ref
9,1010,0.5726554976818407,No_Ref,No_Ref
10,1012,0.5466727716727716,No_Ref,No_Ref
11,1013,0.580223048446591,No_Ref,No_Ref
12,1014,0.5785785590874921,No_Ref,No_Ref
13,1015,0.5298965536406157,No_Ref,No_Ref
14,1016,0.5815179216470737,No_Ref,No_Ref
15,1017,0.5726375385380754,No_Ref,No_Ref
16,1019,0.5636225003138903,No_Ref,No_Ref
17,1021,0.541447519593215,No_Ref,No_Ref
18,1022,0.5977857361549643,No_Ref,No_Ref
19,1023,0.5635461216397714,No_Ref,No_Ref
20,1024,0.5875420779709922,No_Ref,No_Ref
21,1025,0.5420265604758275,No_Ref,No_Ref
22,1026,0.5137096340512489,No_Ref,No_Ref
23,1027,0.5540195920036861,No_Ref,No_Ref
24,1028,0.5743488612319377,No_Ref,No_Ref
25,1029,0.585789479288942,No_Ref,No_Ref
26,1030,0.5605250846643649,No_Ref,No_Ref
27,1031,0.5887554486569334,No_Ref,No_Ref
28,1032,0.556233344257286,No_Ref,No_Ref
29,1033,0.5323096617581036,No_Ref,No_Ref
30,1034,0.540682233882941,No_Ref,No_Ref
31,1035,0.5649616756214387,No_Ref,No_Ref
32,1036,0.5391494997577454,No_Ref,No_Ref
33,1037,0.533995951417004,No_Ref,No_Ref
34,1038,0.5443349693080395,No_Ref,No_Ref
35,1050,0.5482151670184816,No_Ref,No_Ref
36,1051,0.5405340209642472,No_Ref,No_Ref
37,1054,0.5405155079506677,No_Ref,No_Ref
38,1055,0.533579970879549,No_Ref,No_Ref
39,1061,0.5760929657262112,No_Ref,No_Ref
40,1062,0.5631826407486261,No_Ref,No_Ref
41,1063,0.5372363526755417,No_Ref,No_Ref
42,1064,0.5482718910173383,No_Ref,No_Ref
43,1067,0.6068251012404163,No_Ref,No_Ref
44,1068,0.5376737976805313,No_Ref,No_Ref
45,1069,0.558556155578545,No_Ref,No_Ref
46,1070,0.5758140743687007,No_Ref,No_Ref
47,1071,0.5639644031540949,No_Ref,No_Ref
48,1072,0.5565367808339817,No_Ref,No_Ref
49,1074,0.5540368530206307,No_Ref,No_Ref
50,1075,0.5480358928177059,No_Ref,No_Ref
51,1101,0.5803625034144445,No_Ref,No_Ref
52,1102,0.5482842065330112,No_Ref,No_Ref
53,1103,0.5557666033553242,No_Ref,No_Ref
54,1104,0.5470895216191195,No_Ref,No_Ref
55,1106,0.6010697116649942,No_Ref,No_Ref
56,1107,0.5879334494107175,No_Ref,No_Ref
57,1108,0.5789811273236687,No_Ref,No_Ref
58,1113,0.5552414401174119,No_Ref,No_Ref
59,1114,0.5473707689165056,No_Ref,No_Ref
60,1115,0.5849510067521614,No_Ref,No_Ref
61,1117,0.5539947073948647,No_Ref,No_Ref
62,1118,0.540223548050183,No_Ref,No_Ref
63,1121,0.587109165830078,No_Ref,No_Ref
64,1123,0.5448550748654138,No_Ref,No_Ref
65,1124,0.5643073920829194,No_Ref,No_Ref
66,1125,0.5736095806721883,No_Ref,No_Ref
67,1127,0.559869951851084,No_Ref,No_Ref
68,1129,0.5518298942948561,No_Ref,No_Ref
69,1130,0.5684453251499286,No_Ref,No_Ref
70,1131,0.5689758492685216,No_Ref,No_Ref
71,1132,0.5573759909842679,No_Ref,No_Ref
72,1134,0.5621547819464486,No_Ref,No_Ref
73,1135,0.5804545397714627,No_Ref,No_Ref
74,1136,0.5560648769694988,No_Ref,No_Ref
75,1137,0.5320074315845936,No_Ref,No_Ref
76,1138,0.5372252667078304,No_Ref,No_Ref
77,1139,0.5457338736091685,No_Ref,No_Ref
78,1141,0.5624545044009922,No_Ref,No_Ref
79,1143,0.5828646223980148,No_Ref,No_Ref
80,1144,0.5443135774713158,No_Ref,No_Ref
81,1148,0.5615578336166571,No_Ref,No_Ref
82,1149,0.5486082148557375,No_Ref,No_Ref
83,1150,0.567648841795482,No_Ref,No_Ref
84,1152,0.5481365127752312,No_Ref,No_Ref
85,1153,0.5685980309767759,No_Ref,No_Ref
86,1155,0.5303626048243214,No_Ref,No_Ref
87,1156,0.5744951232681985,No_Ref,No_Ref
88,1157,0.5609450067476384,No_Ref,No_Ref
89,1160,0.5426480043173023,No_Ref,No_Ref
90,1161,0.5564330861147129,No_Ref,No_Ref
91,1162,0.5804316152990342,No_Ref,No_Ref
92,1164,0.5957662276546604,No_Ref,No_Ref
93,1165,0.5517909225955561,No_Ref,No_Ref
94,1166,0.5546292956730546,No_Ref,No_Ref
95,1168,0.5250774861899831,No_Ref,No_Ref
96,1169,0.5739051339285413,No_Ref,No_Ref
97,1170,0.5724947891614559,No_Ref,No_Ref
98,1172,0.5417328497855805,No_Ref,No_Ref
99,1173,0.5695958020586863,No_Ref,No_Ref
100,1174,0.5809355448085963,No_Ref,No_Ref
101,1176,0.5627617514362232,No_Ref,No_Ref
102,1177,0.5649814637646496,No_Ref,No_Ref
103,1215,0.5630045661580616,No_Ref,No_Ref
104,1216,0.5561153767198693,No_Ref,No_Ref
105,1217,0.5289956593081868,No_Ref,No_Ref
106,1218,0.5379295907863263,No_Ref,No_Ref
107,1219,0.5615601887072604,No_Ref,No_Ref
108,1220,0.5523498937534025,No_Ref,No_Ref
109,1221,0.5325883099475134,No_Ref,No_Ref
110,1222,0.53207598964064,No_Ref,No_Ref
111,1223,0.5270351793724714,No_Ref,No_Ref
112,1224,0.5371681551329663,No_Ref,No_Ref
113,1225,0.5533083001833002,No_Ref,No_Ref
114,1226,0.5439613088033567,No_Ref,No_Ref
115,1227,0.5541982750138793,No_Ref,No_Ref
116,1228,0.5834035055390294,No_Ref,No_Ref
