,subj_idx,source,target,variable,value
0,1,No_Ref,No_Ref,RT1b,-0.0017779272185136142
1,2,No_Ref,No_Ref,RT1b,0.00026424947276419973
2,3,No_Ref,No_Ref,RT1b,-0.0002804727743749791
3,4,No_Ref,No_Ref,RT1b,0.00027417079789551215
4,5,No_Ref,No_Ref,RT1b,0.00042259145200315153
5,6,No_Ref,No_Ref,RT1b,0.00045328947115402807
6,7,No_Ref,No_Ref,RT1b,0.0008304262365616544
7,8,No_Ref,No_Ref,RT1b,0.0007441121647633164
8,9,No_Ref,No_Ref,RT1b,0.00041308135791470746
9,10,No_Ref,No_Ref,RT1b,-0.0007204372766053957
10,11,No_Ref,No_Ref,RT1b,0.0003123092185591869
11,12,No_Ref,No_Ref,RT1b,-0.0002553109791592234
12,13,No_Ref,No_Ref,RT1b,-0.0005096165906294081
13,14,No_Ref,No_Ref,RT1b,-0.0021627397749343358
14,15,No_Ref,No_Ref,RT1b,0.002465162377699498
15,16,No_Ref,No_Ref,RT1b,0.0014723470327639432
16,17,No_Ref,No_Ref,RT1b,-0.0006355337941398975
17,18,No_Ref,No_Ref,RT1b,0.0003782978433457318
18,19,No_Ref,No_Ref,RT1b,0.0016208349240323383
19,20,No_Ref,No_Ref,RT1b,-0.0008397112986298471
20,21,No_Ref,No_Ref,RT1b,0.002133108134054057
21,22,No_Ref,No_Ref,RT1b,-0.0012595214589789239
22,23,No_Ref,No_Ref,RT1b,0.00044533623726163987
23,24,No_Ref,No_Ref,RT1b,-0.0024205659442329943
24,25,No_Ref,No_Ref,RT1b,-0.001756529217412811
25,26,No_Ref,No_Ref,RT1b,2.767433471980163e-05
26,27,No_Ref,No_Ref,RT1b,-0.00035713250697589906
27,28,No_Ref,No_Ref,RT1b,0.0012300892164183452
28,29,No_Ref,No_Ref,RT1b,-0.0003547741258147663
29,30,No_Ref,No_Ref,RT1b,0.00042686474762870243
30,31,No_Ref,No_Ref,RT1b,0.00017445955123556177
31,32,No_Ref,No_Ref,RT1b,0.0005503769190767505
32,33,No_Ref,No_Ref,RT1b,-4.4467875944870226e-05
33,34,No_Ref,No_Ref,RT1b,-0.0019363022941971176
34,35,No_Ref,No_Ref,RT1b,-0.00013682546194429546
35,36,No_Ref,No_Ref,RT1b,0.00040267361716082026
36,37,No_Ref,No_Ref,RT1b,0.0003512620028891078
37,38,No_Ref,No_Ref,RT1b,-9.654305675340092e-05
38,39,No_Ref,No_Ref,RT1b,-0.0005874672262448588
