,subj_idx,source,target,variable,value
0,1,No_Ref,Self_Ref,ACC1b,0.00041769260459775803
1,2,No_Ref,Self_Ref,ACC1b,-0.0009911198241159768
2,3,No_Ref,Self_Ref,ACC1b,0.0003062638058710321
3,4,No_Ref,Self_Ref,ACC1b,-0.0001275216006193458
4,5,No_Ref,Self_Ref,ACC1b,-9.001214087213105e-05
5,6,No_Ref,Self_Ref,ACC1b,-0.0001621605195380349
6,7,No_Ref,Self_Ref,ACC1b,-0.0006623446613706729
7,8,No_Ref,Self_Ref,ACC1b,0.0003359727297490567
8,9,No_Ref,Self_Ref,ACC1b,0.0003978692244513915
9,10,No_Ref,Self_Ref,ACC1b,-0.00017982668110827493
10,11,No_Ref,Self_Ref,ACC1b,0.0012234809962029137
11,12,No_Ref,Self_Ref,ACC1b,0.001077358918928517
12,13,No_Ref,Self_Ref,ACC1b,0.00010194154295485313
13,14,No_Ref,Self_Ref,ACC1b,0.0011772075153240469
14,15,No_Ref,Self_Ref,ACC1b,-0.00013928856218574094
15,16,No_Ref,Self_Ref,ACC1b,0.0008502004212980752
16,17,No_Ref,Self_Ref,ACC1b,-0.001255426839191015
17,18,No_Ref,Self_Ref,ACC1b,0.000830373397701345
18,19,No_Ref,Self_Ref,ACC1b,-0.0005932416761562753
19,20,No_Ref,Self_Ref,ACC1b,-0.0007474205369450926
20,21,No_Ref,Self_Ref,ACC1b,0.00020251488712106359
21,22,No_Ref,Self_Ref,ACC1b,0.0003333545956377193
22,23,No_Ref,Self_Ref,ACC1b,-0.0012313843373979283
23,24,No_Ref,Self_Ref,ACC1b,-0.0013596259227394158
24,25,No_Ref,Self_Ref,ACC1b,0.0003906404540262143
25,26,No_Ref,Self_Ref,ACC1b,0.00038267844118163307
26,27,No_Ref,Self_Ref,ACC1b,-6.494435615432837e-05
27,28,No_Ref,Self_Ref,ACC1b,-0.0003657116733330579
28,29,No_Ref,Self_Ref,ACC1b,-0.0008481660418485415
29,30,No_Ref,Self_Ref,ACC1b,-0.0007498915237391601
30,31,No_Ref,Self_Ref,ACC1b,-0.0006912076279669055
31,32,No_Ref,Self_Ref,ACC1b,-0.0005172486101540474
32,33,No_Ref,Self_Ref,ACC1b,8.01498538191725e-05
33,34,No_Ref,Self_Ref,ACC1b,0.001520421805711303
34,35,No_Ref,Self_Ref,ACC1b,0.001061622107943022
35,36,No_Ref,Self_Ref,ACC1b,-0.0003128693872920363
36,37,No_Ref,Self_Ref,ACC1b,-0.001288085279162282
37,38,No_Ref,Self_Ref,ACC1b,-0.0009294620351030014
38,39,No_Ref,Self_Ref,ACC1b,0.0003329204572861788
39,40,No_Ref,Self_Ref,ACC1b,-0.0013606088424837682
40,41,No_Ref,Self_Ref,ACC1b,0.00119336155245105
41,42,No_Ref,Self_Ref,ACC1b,0.000479752344609663
42,43,No_Ref,Self_Ref,ACC1b,0.0012156117931155397
43,44,No_Ref,Self_Ref,ACC1b,0.0013982689650404224
44,45,No_Ref,Self_Ref,ACC1b,0.001576387616978081
45,46,No_Ref,Self_Ref,ACC1b,-0.00042871074457034863
46,47,No_Ref,Self_Ref,ACC1b,-0.0002467335021805239
47,48,No_Ref,Self_Ref,ACC1b,0.001329675530878771
48,49,No_Ref,Self_Ref,ACC1b,0.0002597532422251414
49,50,No_Ref,Self_Ref,ACC1b,-0.00016593174406319134
50,51,No_Ref,Self_Ref,ACC1b,0.00025905124379616007
51,52,No_Ref,Self_Ref,ACC1b,-0.00039360833188353817
52,53,No_Ref,Self_Ref,ACC1b,0.00048016443209077385
53,54,No_Ref,Self_Ref,ACC1b,0.0020383554800303518
54,55,No_Ref,Self_Ref,ACC1b,-0.0009391835538625382
55,56,No_Ref,Self_Ref,ACC1b,0.0005708970977197303
56,57,No_Ref,Self_Ref,ACC1b,0.0012072905508764998
57,58,No_Ref,Self_Ref,ACC1b,-0.000915624354124589
58,59,No_Ref,Self_Ref,ACC1b,-0.0011497917955266223
59,60,No_Ref,Self_Ref,ACC1b,0.000744200136490919
60,61,No_Ref,Self_Ref,ACC1b,-0.0014890718969787441
61,62,No_Ref,Self_Ref,ACC1b,-0.0007432975002947928
62,63,No_Ref,Self_Ref,ACC1b,0.00025021117828370466
63,64,No_Ref,Self_Ref,ACC1b,-0.00022579460901174243
64,65,No_Ref,Self_Ref,ACC1b,0.0002250974182372245
65,66,No_Ref,Self_Ref,ACC1b,0.0018239682119560285
66,67,No_Ref,Self_Ref,ACC1b,0.000546827322185578
67,68,No_Ref,Self_Ref,ACC1b,-0.0002980618276522795
68,69,No_Ref,Self_Ref,ACC1b,0.00018196351654511388
69,70,No_Ref,Self_Ref,ACC1b,-0.0016005799467108562
70,71,No_Ref,Self_Ref,ACC1b,-0.0004021248262363719
71,72,No_Ref,Self_Ref,ACC1b,-0.000843408847610544
72,73,No_Ref,Self_Ref,ACC1b,-0.0012384683482473623
73,74,No_Ref,Self_Ref,ACC1b,-0.00032398113572798537
74,75,No_Ref,Self_Ref,ACC1b,0.0005874508846550941
75,76,No_Ref,Self_Ref,ACC1b,0.0005715182438769895
76,77,No_Ref,Self_Ref,ACC1b,-0.0006676784824192594
77,78,No_Ref,Self_Ref,ACC1b,-0.00023043430387082454
78,79,No_Ref,Self_Ref,ACC1b,-0.0005050132035468891
79,80,No_Ref,Self_Ref,ACC1b,-0.0014628485089075716
80,81,No_Ref,Self_Ref,ACC1b,-0.00019112399673986146
81,82,No_Ref,Self_Ref,ACC1b,0.0008796321098647697
82,83,No_Ref,Self_Ref,ACC1b,-0.001565639016321224
83,84,No_Ref,Self_Ref,ACC1b,0.0008281283933905814
84,85,No_Ref,Self_Ref,ACC1b,0.00017813962743215006
85,86,No_Ref,Self_Ref,ACC1b,-0.0018362456270724302
86,87,No_Ref,Self_Ref,ACC1b,-5.300661681828522e-06
87,88,No_Ref,Self_Ref,ACC1b,-0.00021267066127136358
88,89,No_Ref,Self_Ref,ACC1b,0.00018273868417429396
89,90,No_Ref,Self_Ref,ACC1b,-3.3718868021315183e-05
90,91,No_Ref,Self_Ref,ACC1b,-0.00043095883087677646
91,92,No_Ref,Self_Ref,ACC1b,0.0001791223768681127
92,93,No_Ref,Self_Ref,ACC1b,0.0006042728959104072
93,94,No_Ref,Self_Ref,ACC1b,-0.00013887308050412607
94,95,No_Ref,Self_Ref,ACC1b,-0.0024479948519949947
95,96,No_Ref,Self_Ref,ACC1b,0.00027558303526040715
96,97,No_Ref,Self_Ref,ACC1b,0.0012383426238664452
97,98,No_Ref,Self_Ref,ACC1b,0.0005296683551391735
98,99,No_Ref,Self_Ref,ACC1b,9.700509465982998e-05
99,100,No_Ref,Self_Ref,ACC1b,0.0002417268584831156
100,101,No_Ref,Self_Ref,ACC1b,0.0009272655586814782
101,102,No_Ref,Self_Ref,ACC1b,0.0006102722798759675
102,103,No_Ref,Self_Ref,ACC1b,6.047314568426443e-05
103,104,No_Ref,Self_Ref,ACC1b,0.0006574528741464858
104,105,No_Ref,Self_Ref,ACC1b,-0.00047896879851825334
105,106,No_Ref,Self_Ref,ACC1b,-0.0007076495017921735
106,107,No_Ref,Self_Ref,ACC1b,-0.00017808342133327493
107,108,No_Ref,Self_Ref,ACC1b,0.0004130950808292733
108,109,No_Ref,Self_Ref,ACC1b,-8.780000584268088e-05
109,110,No_Ref,Self_Ref,ACC1b,-0.0008347336323371257
110,111,No_Ref,Self_Ref,ACC1b,6.459522068681389e-05
111,112,No_Ref,Self_Ref,ACC1b,-0.0008244514572853245
112,113,No_Ref,Self_Ref,ACC1b,-0.000848277525029495
113,114,No_Ref,Self_Ref,ACC1b,-6.056157857704525e-05
114,115,No_Ref,Self_Ref,ACC1b,-3.25088324045264e-05
115,116,No_Ref,Self_Ref,ACC1b,1.2171099795454944e-06
116,117,No_Ref,Self_Ref,ACC1b,-0.0009478544050295301
117,118,No_Ref,Self_Ref,ACC1b,-0.0001699549744625495
118,119,No_Ref,Self_Ref,ACC1b,4.4524973659804125e-05
119,120,No_Ref,Self_Ref,ACC1b,-0.0005349397199023498
120,121,No_Ref,Self_Ref,ACC1b,2.9758521843653574e-05
121,122,No_Ref,Self_Ref,ACC1b,0.0006447656071512208
122,123,No_Ref,Self_Ref,ACC1b,-0.0012728222097007857
123,124,No_Ref,Self_Ref,ACC1b,0.0005076009512449076
124,125,No_Ref,Self_Ref,ACC1b,-0.00020386119552674443
125,126,No_Ref,Self_Ref,ACC1b,0.00019683155234385686
126,127,No_Ref,Self_Ref,ACC1b,0.0005504840473055939
127,128,No_Ref,Self_Ref,ACC1b,0.0005528699646946023
128,129,No_Ref,Self_Ref,ACC1b,0.0010584537928186976
129,130,No_Ref,Self_Ref,ACC1b,-0.0003999943588361532
130,131,No_Ref,Self_Ref,ACC1b,0.0010510621028448353
131,132,No_Ref,Self_Ref,ACC1b,0.0007662422649643063
132,133,No_Ref,Self_Ref,ACC1b,3.077428096335821e-05
133,134,No_Ref,Self_Ref,ACC1b,2.3835952013218087e-05
134,135,No_Ref,Self_Ref,ACC1b,-0.0008067439019923239
135,136,No_Ref,Self_Ref,ACC1b,-4.590663672977557e-05
136,137,No_Ref,Self_Ref,ACC1b,-0.00016709079868530984
137,138,No_Ref,Self_Ref,ACC1b,0.0005703347876782339
138,139,No_Ref,Self_Ref,ACC1b,-2.3182600080845494e-05
139,140,No_Ref,Self_Ref,ACC1b,-0.00025672692212763416
140,141,No_Ref,Self_Ref,ACC1b,-0.0009480279653633461
141,142,No_Ref,Self_Ref,ACC1b,2.7695009631456546e-06
142,143,No_Ref,Self_Ref,ACC1b,-0.000812187812562784
143,144,No_Ref,Self_Ref,ACC1b,0.0002849354078672983
144,145,No_Ref,Self_Ref,ACC1b,-0.0017826935740499928
145,146,No_Ref,Self_Ref,ACC1b,-0.001790078121020569
146,147,No_Ref,Self_Ref,ACC1b,-0.0011516628708333836
147,148,No_Ref,Self_Ref,ACC1b,-0.0013860345143598906
148,149,No_Ref,Self_Ref,ACC1b,-0.002273451260161283
149,150,No_Ref,Self_Ref,ACC1b,-0.0023328124219023335
150,151,No_Ref,Self_Ref,ACC1b,-0.0008827041295596749
151,152,No_Ref,Self_Ref,ACC1b,0.0014556081851319984
152,153,No_Ref,Self_Ref,ACC1b,0.0009752145443227
153,154,No_Ref,Self_Ref,ACC1b,0.001634029834955647
154,155,No_Ref,Self_Ref,ACC1b,-6.294550093373652e-05
155,156,No_Ref,Self_Ref,ACC1b,-0.00017827606769087734
