,subID,score,source,target
0,1001,0.6971618357487923,No_Ref,No_Ref
1,1002,0.6225609756097561,No_Ref,No_Ref
2,1003,0.5984903381642512,No_Ref,No_Ref
3,1004,0.5789978678038379,No_Ref,No_Ref
4,1005,0.6874325782092773,No_Ref,No_Ref
5,1006,0.3830827067669173,No_Ref,No_Ref
6,1007,0.7108715184186882,No_Ref,No_Ref
7,1008,0.4492997198879552,No_Ref,No_Ref
8,1009,0.5300486080424216,No_Ref,No_Ref
9,1010,0.5839473684210525,No_Ref,No_Ref
10,1012,0.5662626262626262,No_Ref,No_Ref
11,1013,0.5309047619047619,No_Ref,No_Ref
12,1014,0.51296875,No_Ref,No_Ref
13,1015,0.41788143828960156,No_Ref,No_Ref
14,1016,0.694921875,No_Ref,No_Ref
15,1017,0.7067539202370663,No_Ref,No_Ref
16,1019,0.5020685579196218,No_Ref,No_Ref
17,1021,0.38972626472626476,No_Ref,No_Ref
18,1022,0.6696551724137932,No_Ref,No_Ref
19,1023,0.5448717948717949,No_Ref,No_Ref
20,1024,0.6794642857142857,No_Ref,No_Ref
21,1025,0.5486013986013987,No_Ref,No_Ref
22,1026,0.47751303052866717,No_Ref,No_Ref
23,1027,0.6216216216216216,No_Ref,No_Ref
24,1028,0.5139869824124081,No_Ref,No_Ref
25,1029,0.5556780109328161,No_Ref,No_Ref
26,1030,0.4848821081830791,No_Ref,No_Ref
27,1031,0.7969310035842294,No_Ref,No_Ref
28,1032,0.7255615453728662,No_Ref,No_Ref
29,1033,0.3425114211631066,No_Ref,No_Ref
30,1034,0.555686274509804,No_Ref,No_Ref
31,1035,0.6188970846505093,No_Ref,No_Ref
32,1036,0.5279693486590038,No_Ref,No_Ref
33,1037,0.5543062200956937,No_Ref,No_Ref
34,1038,0.41970588235294115,No_Ref,No_Ref
35,1050,0.44270040588533743,No_Ref,No_Ref
36,1051,0.6077348692714121,No_Ref,No_Ref
37,1054,0.6348143639683506,No_Ref,No_Ref
38,1055,0.422418371465596,No_Ref,No_Ref
39,1061,0.6810818713450293,No_Ref,No_Ref
40,1062,0.38334460744937215,No_Ref,No_Ref
41,1063,0.6667596437942933,No_Ref,No_Ref
42,1064,0.43804980466154625,No_Ref,No_Ref
43,1067,0.6243457731254978,No_Ref,No_Ref
44,1068,0.520111400264804,No_Ref,No_Ref
45,1069,0.5161681670786186,No_Ref,No_Ref
46,1070,0.42582417582417587,No_Ref,No_Ref
47,1071,0.6110384615384615,No_Ref,No_Ref
48,1072,0.6650291995877705,No_Ref,No_Ref
49,1074,0.6300356506238859,No_Ref,No_Ref
50,1075,0.6953222049689443,No_Ref,No_Ref
51,1101,0.5865043125317098,No_Ref,No_Ref
52,1102,0.6917156862745097,No_Ref,No_Ref
53,1103,0.49177061677061684,No_Ref,No_Ref
54,1104,0.6071428571428572,No_Ref,No_Ref
55,1106,0.5468518518518518,No_Ref,No_Ref
56,1107,0.6255144032921811,No_Ref,No_Ref
57,1108,0.45130742913000976,No_Ref,No_Ref
58,1113,0.7352825745682888,No_Ref,No_Ref
59,1114,0.6083192170148692,No_Ref,No_Ref
60,1115,0.516986959505834,No_Ref,No_Ref
61,1117,0.4963605319913731,No_Ref,No_Ref
62,1118,0.5987064796905223,No_Ref,No_Ref
63,1121,0.544945054945055,No_Ref,No_Ref
64,1123,0.5046338672768879,No_Ref,No_Ref
65,1124,0.7517208863743517,No_Ref,No_Ref
66,1125,0.6087284381185786,No_Ref,No_Ref
67,1127,0.47332202111613875,No_Ref,No_Ref
68,1129,0.46376488095238094,No_Ref,No_Ref
69,1130,0.5473720312098087,No_Ref,No_Ref
70,1131,0.578188330662645,No_Ref,No_Ref
71,1132,0.58693741209564,No_Ref,No_Ref
72,1134,0.4586714890613973,No_Ref,No_Ref
73,1135,0.5526800092017483,No_Ref,No_Ref
74,1136,0.6563026094276094,No_Ref,No_Ref
75,1137,0.6118495475113123,No_Ref,No_Ref
76,1138,0.4712129950019223,No_Ref,No_Ref
77,1139,0.5016621743036838,No_Ref,No_Ref
78,1141,0.5138613861386139,No_Ref,No_Ref
79,1143,0.511471820258949,No_Ref,No_Ref
80,1144,0.494896449704142,No_Ref,No_Ref
81,1148,0.5534044145155257,No_Ref,No_Ref
82,1149,0.45935176841631,No_Ref,No_Ref
83,1150,0.6182929527602612,No_Ref,No_Ref
84,1152,0.49000783699059564,No_Ref,No_Ref
85,1153,0.6796397724878871,No_Ref,No_Ref
86,1155,0.4692971097068269,No_Ref,No_Ref
87,1156,0.484250178606222,No_Ref,No_Ref
88,1157,0.5055598555211558,No_Ref,No_Ref
89,1160,0.49120915972022616,No_Ref,No_Ref
90,1161,0.5625404007756949,No_Ref,No_Ref
